"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 01, 2014","1,548.73","1,576.70","1,576.70","1,547.34","-","-1.72%"
"Nov 28, 2014","1,575.87","1,586.29","1,593.45","1,565.03","-","-0.66%"
"Nov 27, 2014","1,586.29","1,569.02","1,595.16","1,569.02","-","1.10%"
"Nov 26, 2014","1,569.02","1,542.02","1,574.17","1,542.02","-","1.75%"
"Nov 25, 2014","1,542.02","1,528.98","1,542.02","1,526.57","-","0.90%"
"Nov 24, 2014","1,528.25","1,536.78","1,539.22","1,523.66","-","0.03%"
"Nov 21, 2014","1,527.82","1,509.09","1,527.82","1,502.97","-","1.16%"
"Nov 20, 2014","1,510.32","1,528.85","1,531.01","1,492.05","-","-2.09%"
"Nov 19, 2014","1,542.61","1,571.96","1,572.65","1,542.61","-","-1.87%"
"Nov 18, 2014","1,571.96","1,593.38","1,593.97","1,570.30","-","-1.34%"
"Nov 17, 2014","1,593.38","1,585.52","1,610.91","1,585.52","-","0.56%"
"Nov 14, 2014","1,584.58","1,560.35","1,584.58","1,551.43","-","1.55%"
"Nov 13, 2014","1,560.35","1,552.79","1,560.35","1,532.74","-","0.49%"
"Nov 12, 2014","1,552.79","1,535.06","1,560.35","1,522.37","-","1.16%"
"Nov 11, 2014","1,535.06","1,496.53","1,535.36","1,496.53","-","2.57%"
"Nov 10, 2014","1,496.53","1,480.33","1,496.53","1,461.19","-","1.09%"
"Nov 07, 2014","1,480.33","1,535.81","1,535.81","1,470.16","-","-3.61%"
"Nov 06, 2014","1,535.81","1,602.86","1,602.86","1,525.77","-","-4.18%"
"Nov 05, 2014","1,602.86","1,647.47","1,647.96","1,597.45","-","-2.71%"
"Nov 04, 2014","1,647.47","1,676.95","1,678.29","1,647.39","-","-1.76%"
"Nov 03, 2014","1,676.95","1,683.72","1,686.26","1,659.28","-","-0.40%"
"Oct 31, 2014","1,683.72","1,707.32","1,707.32","1,674.14","-","-1.38%"
"Oct 30, 2014","1,707.32","1,714.05","1,714.53","1,699.57","-","-0.39%"
"Oct 29, 2014","1,714.05","1,721.57","1,722.28","1,707.93","-","-0.44%"
"Oct 28, 2014","1,721.57","1,749.97","1,750.39","1,719.04","-","-1.62%"
"Oct 27, 2014","1,749.97","1,762.57","1,763.63","1,742.54","-","-0.71%"
"Oct 24, 2014","1,762.57","1,765.78","1,768.07","1,753.75","-","-0.18%"
"Oct 23, 2014","1,765.78","1,768.10","1,768.10","1,758.61","-","-0.13%"
"Oct 22, 2014","1,768.10","1,756.50","1,768.10","1,754.10","-","0.66%"
"Oct 21, 2014","1,756.50","1,750.83","1,759.67","1,750.83","-","0.32%"
"Oct 20, 2014","1,750.83","1,728.41","1,768.69","1,728.41","-","1.30%"
"Oct 17, 2014","1,728.41","1,737.25","1,744.00","1,716.51","-","-0.51%"
"Oct 16, 2014","1,737.25","1,775.14","1,775.14","1,715.33","-","-2.13%"
"Oct 15, 2014","1,775.14","1,800.04","1,800.04","1,774.07","-","-1.38%"
"Oct 14, 2014","1,800.04","1,826.45","1,826.45","1,789.66","-","-1.45%"
"Oct 13, 2014","1,826.45","1,844.59","1,845.47","1,824.18","-","-0.98%"
"Oct 10, 2014","1,844.59","1,854.30","1,854.36","1,838.01","-","-0.52%"
"Oct 09, 2014","1,854.30","1,869.72","1,874.45","1,854.04","-","-0.82%"
"Oct 08, 2014","1,869.72","1,875.63","1,881.62","1,864.13","-","-0.32%"
"Oct 03, 2014","1,875.63","1,879.57","1,879.76","1,864.41","-","-0.21%"
"Oct 02, 2014","1,879.57","1,882.26","1,884.52","1,876.67","-","-0.14%"
"Sep 30, 2014","1,882.26","1,876.73","1,883.81","1,864.31","-","0.29%"
"Sep 29, 2014","1,876.73","1,861.61","1,877.22","1,859.23","-","0.81%"
"Sep 26, 2014","1,861.61","1,857.75","1,861.61","1,850.55","-","0.21%"
"Sep 25, 2014","1,857.75","1,858.49","1,859.39","1,840.89","-","-0.04%"
"Sep 24, 2014","1,858.49","1,847.35","1,858.49","1,839.05","-","0.60%"
"Sep 23, 2014","1,847.35","1,872.34","1,873.70","1,844.86","-","-1.33%"
"Sep 22, 2014","1,872.34","1,874.36","1,876.51","1,859.73","-","-0.11%"
"Sep 19, 2014","1,874.36","1,856.56","1,874.36","1,852.90","-","0.96%"
"Sep 18, 2014","1,856.56","1,852.91","1,856.72","1,849.84","-","0.20%"
"Sep 17, 2014","1,852.91","1,850.75","1,864.70","1,844.95","-","0.12%"
"Sep 16, 2014","1,850.75","1,857.14","1,857.31","1,842.72","-","-0.34%"
"Sep 15, 2014","1,857.14","1,856.96","1,866.79","1,855.04","-","0.01%"
"Sep 12, 2014","1,856.96","1,857.39","1,860.92","1,853.45","-","-0.03%"
"Sep 11, 2014","1,857.60","1,863.86","1,863.86","1,852.31","-","-0.34%"
"Sep 10, 2014","1,863.86","1,862.67","1,866.10","1,859.34","-","0.06%"
"Sep 09, 2014","1,862.67","1,873.95","1,874.39","1,858.36","-","-0.60%"
"Sep 08, 2014","1,873.95","1,870.68","1,875.10","1,869.25","-","0.17%"
"Sep 05, 2014","1,870.68","1,863.29","1,871.23","1,855.54","-","0.40%"
"Sep 04, 2014","1,863.29","1,872.65","1,872.88","1,860.07","-","-0.50%"
"Sep 03, 2014","1,872.65","1,875.12","1,882.16","1,871.05","-","-0.13%"
"Sep 02, 2014","1,875.12","1,881.58","1,885.85","1,871.30","-","-0.34%"
"Sep 01, 2014","1,881.58","1,890.50","1,891.51","1,880.73","-","-0.47%"
"Aug 29, 2014","1,890.50","1,881.03","1,892.91","1,881.03","-","0.50%"